price,color,likes,brand,material type,Percentage discount,Rate,Fit,Saling fast,in sale,category,sex
Now 196.80 ILS,dark green,3K,adidas Originals,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-25%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 202.05 ILS,BLACK,564,adidas performance,"Sweatshirt fabric: soft and warm
Uses adidas AEROREADY technology
Moisture-absorbing and quick-drying

Main: 100% Polyester.",(-30%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 119.66 ILS,GREY,449,New Balance,"Sweatshirt fabric
Soft hand feel

Main: 64% Cotton, 36% Polyester, Rib: 96% Cotton, 4% Elastane.",(-39%),3.4,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 188.93 ILS,,,,,,4.7,,,1,Hoodies & Sweatshirts,Women
,,,,,0,,,,0,Hoodies & Sweatshirts,Women
Now 106.27 ILS,WHITE,421,adidas performance,"Main: 70% Cotton, 30% Polyester, Rib: 100% Cotton.",(-55%),5.0,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 220.42 ILS,BLACK,,,"Sweatshirt fabric: soft and warm

Main: 100% Polyester.",(-30%),4.7,Regular fit,SELLING FAST,1,Hoodies & Sweatshirts,Women
Now 215.17 ILS,LIGHT GREEN,304,,,(-34%),4.7,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 251.91 ILS,black,2K,adidas Originals,,(-20%),3.5,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 144.32 ILS,,,,,,4.5,,,1,Hoodies & Sweatshirts,Women
Now 188.93 ILS,GREY,965,adidas,"Sweatshirt fabric
Soft hand feel",(-19%),4.0,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 209.92 ILS,GREEN,1K,adidas Originals,,(-20%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 272.90 ILS,Pink,718,The North Face,"Fleece: soft, cosy and insulating

Main: 100% Polyester.",(-29%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 144.32 ILS,lilac,2K,ASOS 4505,,(-14%),,Slim fit,,1,Hoodies & Sweatshirts,Women
Now 220.42 ILS,,,,,,4.5,,,1,Hoodies & Sweatshirts,Women
Now 135.93 ILS,TAN,833,PUMA,"Sweatshirt fabric: soft and warm

Main: 100% Polyester.",(-29%),,Boxy fit,,1,Hoodies & Sweatshirts,Women
Now 158.76 ILS,GREY HEATHER,489,Vans,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-44%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 296.52 ILS,green,617,adidas Originals,,(-24%),,Regular fit,,1,Hoodies & Sweatshirts,Women
